replay id,replay title,map,date,result,team name,opposing team name,score,goals,assists,saves,shots,shots conceded,goals conceded,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,total distance,time slow speed,time boost speed,time supersonic speed,time on ground,time low in air,time high in air,time powerslide,count powerslide,time in front of ball,time behind ball,time in front of ball,time defensive half,time offensive half,time defensive third,time neutral third,time offensive third,demos inflicted,demos taken
1081a7cd-a5c1-427c-bb69-b579b111cecb,Canadian Internet (L) vs. Flip Rejects (W) - Game #1 (2023-03-01),Champions Field,2023-03-02 3:35:25,loss,CANADIANS,FLIP REJECTS,2016,1,1,16,10,20,2,10,1046,158.6,10424,6463,3961,77,353,1819,939,880,12,79,136.58,159.54,1243,1226,271,2465922,933.05,666.56,184.85,1078.27,635.44,70.74,51.6,390,558.81,1225.65,558.81,1295.43,489.02,1060.42,442.63,281.41,3,5
1081a7cd-a5c1-427c-bb69-b579b111cecb,Canadian Internet (L) vs. Flip Rejects (W) - Game #1 (2023-03-01),Champions Field,2023-03-02 3:35:25,win,FLIP REJECTS,CANADIANS,1764,2,1,8,20,10,1,10,1071,164.89,10785,7877,2908,95,260,3106,1908,1198,24,103,145.71,285.04,1270,1689,442,2541081,912.84,671.81,204.4,1027.41,670.82,90.82,36.69,329,479.31,1309.74,479.31,904.61,884.44,627.72,585.41,575.91,5,3
7240993f-1e31-448b-a0f2-a523e207f91f,Canadian Internet (L) vs. Flip Rejects (W) - Game #2 (2023-03-01),Champions Field,2023-03-02 3:44:19,loss,CANADIANS,FLIP REJECTS,612,1,1,2,4,11,8,25,1096,146.23,7264,4743,2521,54,210,1404,701,703,9,55,169.92,89.07,877,468,114,1557109,596.33,441.01,130.51,712,417.32,38.53,21.64,190,408.01,759.84,408.01,797.54,370.32,602.28,347.06,218.51,2,1
7240993f-1e31-448b-a0f2-a523e207f91f,Canadian Internet (L) vs. Flip Rejects (W) - Game #2 (2023-03-01),Champions Field,2023-03-02 3:44:19,win,FLIP REJECTS,CANADIANS,1830,8,5,3,11,4,1,72.73,1083,156.06,6750,4855,1895,59,173,1345,700,645,10,59,112.24,166.63,749,1131,342,1580964,598.45,449.13,123.11,665.06,451.58,54.04,19.54,182,261.96,908.72,261.96,707.91,462.77,528.64,355.61,286.42,1,2
134e29f0-48e2-4808-a5ea-d9043844c650,Canadian Internet (L) vs. Flip Rejects (W) - Game #5 (2023-03-01),Champions Field,2023-03-02 4:09:47,loss,CANADIANS,FLIP REJECTS,971,3,2,3,4,12,6,75,1235,152.48,7492,5036,2456,61,223,1152,563,589,7,53,98.91,65.67,882,764,71,1582109,539.61,467.38,143.96,719.29,387.59,44.06,24.6,213,385.46,765.49,385.46,831.84,319.09,641.05,330.33,179.56,2,3
134e29f0-48e2-4808-a5ea-d9043844c650,Canadian Internet (L) vs. Flip Rejects (W) - Game #5 (2023-03-01),Champions Field,2023-03-02 4:09:47,win,FLIP REJECTS,CANADIANS,1330,6,4,1,12,4,3,50,1157,142.2,7234,5291,1943,62,174,1353,676,677,9,60,140.57,146.6,814,967,231,1621572,522.17,479.45,153.1,654.75,459.58,40.39,19.57,179,261.69,893.03,261.69,687.41,467.31,493.11,388.27,273.35,3,2
6848b0f4-15d8-4583-afb7-543289eb5c39,Canadian Internet (W) vs. Flip Rejects (L) - Game #3 (2023-03-01),Champions Field,2023-03-02 3:51:40,win,CANADIANS,FLIP REJECTS,971,3,2,2,8,2,0,37.5,1302,158.76,7173,4842,2331,59,206,1663,1005,658,12,60,72.22,75.97,1089,848,208,1476784,423.44,419.29,155.46,602.78,357.22,38.2,23.85,206,256.06,742.14,256.06,636.31,361.89,469.22,324.92,204.04,3,2
6848b0f4-15d8-4583-afb7-543289eb5c39,Canadian Internet (W) vs. Flip Rejects (L) - Game #3 (2023-03-01),Champions Field,2023-03-02 3:51:40,loss,FLIP REJECTS,CANADIANS,592,0,0,4,2,8,3,0,1020,149.82,5476,3529,1947,43,166,1303,810,493,10,45,145.47,111.59,490,848,204,1434460,462.76,406.03,126.39,530.1,414.76,50.34,18.28,169,336.94,658.26,336.94,632.99,362.2,463.85,303.23,228.11,2,3
9c565e6c-821e-431b-a8a5-c11265d06c58,Canadian Internet (W) vs. Flip Rejects (L) - Game #4 (2023-03-01),Champions Field,2023-03-02 4:00:17,win,CANADIANS,FLIP REJECTS,1116,1,0,7,2,8,0,50,1216,160.38,8481,5455,3026,69,269,1593,936,657,12,60,132.91,93.46,1008,1297,257,1868824,549.41,538.45,168.63,777.7,456.24,22.55,31.69,255,347.75,908.74,347.75,848.35,408.14,641.47,370.2,244.81,4,4
9c565e6c-821e-431b-a8a5-c11265d06c58,Canadian Internet (W) vs. Flip Rejects (L) - Game #4 (2023-03-01),Champions Field,2023-03-02 4:00:17,loss,FLIP REJECTS,CANADIANS,780,0,0,2,8,2,1,0,1090,153.87,7484,5226,2258,61,207,2055,1329,726,16,67,132.5,133.97,862,969,285,1826444,605.38,508.24,141.52,707.62,479.09,68.45,22.68,196,363.57,891.58,363.57,794.25,460.88,566.46,402.63,286.06,4,4