Team,Games Played,Points Earned,Match Wins,Match Losses,Win %,Games Won,Games Lost,Goals ,Goals Allowed,+/-
[Redacted],2,6,2,0,100%,6,2,26,18,8
Brue Team,2,2,0,2,0%,2,6,8,27,-19
Discount Boost,1,4,1,0,100%,3,0,12,4,8
Emerald City RC,1,1,0,1,0%,0,3,4,12,-8
Halftime Turnup,1,4,1,0,100%,3,0,13,2,11
Jolly Poggers,2,5,1,1,50%,5,3,23,11,12
Little Giants,2,2,0,2,0%,3,6,18,32,-14
Rip and the Sharkettes,2,7,2,0,100%,6,1,24,10,14
Scapegoats,2,4,1,1,50%,4,4,30,24,6
Slightly Poshed,1,3,1,0,100%,3,2,8,8,0
Spectrum,2,4,1,1,50%,4,4,19,14,5
SuperSonicDough,1,1,0,1,0%,0,3,4,9,-5
TARL,1,3,1,0,100%,3,2,13,8,5
Unfit for Orbit,2,2,0,2,0%,0,6,5,28,-23